tags,PT_BR,EN_US,BOAT_
locale_CREDITOS_FIM0,primeiro semestre,of the component, 
locale_CREDITOS_FIM8,do componente Introducao a Sistemas,Introducao a Sistemas, 
locale_CREDITOS_FIM9,Computacionais na Universidade de,Computacionais in the University, 
locale_CREDITOS_FIM10,Brasilia. 24/07/2025,of Brasilia. 2025/07/24, 
locale_CREDITOS_FIM11,agora pode ir,now you may go, 
locale_CREDITOS_FIM12,...era so isso mesmo. nao tem mais nada.,...that was really it. theres nothing left., 
locale_CREDITOS_FIM13,<<< FIM >>>,<<< END >>>, 
locale_CREDITOS_VOLTAR,Pressione 9 pra voltar ao menu principal,Press 9 to return to the main menu,PRESS 9 TO RETURN TO SHORE
locale_CONFIG_VOLTAR,Pressione 9 pra voltar ao menu principal,Press 9 to return to the main menu,PRESS 9 TO RETURN TO SHORE
locale_CONFIG_OPCAO_IDIOMA,1. Alterar idioma,1. Switch Language,1. PICK 'NOTHER LINGO
locale_CONFIG_OPCAO_AUDIO,2. Configuracoes de audio,2. Audio settings,2. LOUDNESS OPTIONS
locale_CONFIG_OPCAO_ADICIONAIS,3. Outras configuracoes,3. Other settings,3. OTHER STUFF
locale_IDIOMA_PROMPT,Escolha o idioma:,Choose language:,CHOOSE CREW LINGO
locale_IDIOMA_PT,1. Portugues (BR),1. Portugues (BR),1. Portugues (BR)
locale_IDIOMA_EN,2. English (US),2. English (US),2. English (US)
locale_AUDIO_TITULO,Configuracoes de audio,Audio settings,LOUDNESS OPTIONS
locale_AUDIO_MUTAR_MUSICA,1. Mutar musica,1. Mute music,1. FIRE MUSICIAN
locale_AUDIO_DESMUTAR_MUSICA,1. Desmutar musica,1. Unmute music,1. HIRE MUSICIAN
locale_AUDIO_MUTAR_EXPLOSOES,2. Mutar explosoes,2. Mute explosions,2. MUFFLE CANNONS
locale_AUDIO_DESMUTAR_EXPLOSOES,2. Desmutar explosoes,2. Unmute explosions,2. UNMUFFLE CANNONS
locale_ADICIONAIS_TITULO,Outras configuracoes,Other settings,OTHER STUFF
locale_ADICIONAIS_ATIVAR_GRAYSCALE,1. Ativar grayscale,1. Enable grayscale,1. ENABLE BLACK & WHITE
locale_ADICIONAIS_DESATIVAR_GRAYSCALE,1. Desativar grayscale,1. Disable grayscale,1. DISABLE BLACK & WHITE
locale_ADICIONAIS_ATIVAR_EFEITO_DE_EXPLOSAO,2. Ativar efeito de explosao,2. Enable explosion effect,2. ENABLE CANNON SHAKE
locale_ADICIONAIS_DESATIVAR_EFEITO_DE_EXPLOSAO,2. Desativar efeito de explosao,2. Disable explosion effect,2. DISABLE CANNON SHAKE
locale_ADICIONAIS_ATIVAR_MODO_DEBUG,3. Ativar modo debug,3. Enable debug mode,3. ENABLE CAPTAIN LOGBOOK
locale_ADICIONAIS_DESATIVAR_MODO_DEBUG,3. Desativar modo debug,3. Disable debug mode,3. DISABLE CAPTAIN LOGBOOK
locale_CODIGO_N_IMPLEMENTADO,Nao implementado.,Not implemented.,not implemented
locale_HUD_FASE_ATUAL,"CH C, FASE F","CH C,  LVL F","LG C,  SEA F"
locale_HUD_INIMIGOS_RESTANTES,INIMIGOS:  X,ENEMIES:   X,HOSTILES:  X
locale_HUD_VIDAS_RESTANTES,VIDAS: X,LEFT:  X,SHIPS: X
locale_CH0_F0,"Bem vindo ao tutorial!
MOVA-SE utilizando WASD

W - para cima
A - para a esquerda
S - para baixo
D - para a direita

Vah ateh a textura de fim de
fase para termina-la.

Pressione BACKSPACE para
voltar ao menu.","Welcome to the tutorial!
MOVE using W A S D

W - up
A - left
S - down
D - right

Go to the exit (SAIDA)
to go to the next level.

Press BACKSPACE to return
to the Menu.",boat
locale_CH0_F1,"Para colocar uma bomba,
aperte ENTER ou ESPACO.
Paredes quebraveis nao
sobreviverao ah explosao.

Apos colocar a bomba, se
afaste para nao acabar
explodindo junto.","To place a bomb, press
ENTER or SPACE.
Breakable walls won't
survive the explosion.

After laying a bomb,
dont stay close so you
dont go out with it.",boat
locale_CH0_F2,"Fases podem conter INIMIGOS.
Exploda-os para poder passar
de fase. Cuidado: Se tocar
neles, voce morrerah.

E lembre-se que voce soh
pode colocar uma bomba 
por vez por enquanto. ;)","Levels may contain ENEMIES.
Explode them to be able to
pass to the next level.
Beware: if you touch them,
you die.

And keep in mind that you may
only lay one bomb at a time
for now. ;)",boat
locale_CH0_F3,"Nessa fase existem dois 
powerups escondidos debaixo
de paredes quebraveis.
Pegue-os, e os terah pelo
resto do capitulo. 

Um deles aumenta
pra 4 o limite de bombas
que voce pode botar, o
outro aumenta a area de
explosao da bomba. 

PS: explosoes atravessam paredes","In this level there are
two powerups hidden below
breakable walls. Take them,
and you'll have them for the
rest of the chapter.

One of them increases to 4 the
bomb laying limit, whilst 
the other increases the
explosion area.

P.S.: explosions go through 
walls",boat
locale_CH0_F4,"Isso eh um pergaminho. A 
partir de agora, esse serah o 
meio por qual informacao serah
mostrada. O pergaminho serah
destruido depois de lido.

Outra coisa: a partir de
agora, a saida ficarah
escondida atras de paredes
quebraveis. Consegue achar
ela? (sim)","This is a scroll. From now
on, this will be the way
information will be shown
to you inside the levels.
The scroll will be destroyed
once read.

Also: From this moment forth,
the exit will be hidden beneath
breakable walls. Can you find
it? (yes)",boat
locale_CH0_F5,"Fases podem ter tamanhos
diferentes, mas elas nunca
vao sair da tela.

Elas tambem podem ter limite
de tempo. Termine a fase antes
dele acabar ou perca uma vida.

Nao se preocupe: o tempo fica
pausado dentro de um 
pergaminho.

O tempo pode ser visto na
parte superior da tela.","Levels may have different
sizes, but they'll never
go off-screen.

They may also have a time
limit. Complete the level
before time runs out or lose
a life.

Don't worry. Time is paused
while in a scroll.

Time can be seen on the
upper part of the screen.",boat
locale_CH0_F6,"Algumas fases terao NPCs
que nao sao INIMIGOS. Eles
nao precisam ser explodidos
para passar de fase.

Eles tambem nao causam
morte ao tocar neles.

Voce pode o ignorar com
seguranca.","Some levels will have NPCs
that are not ENEMIES. They
don't  need to be blown up
to pass to the next level.

They also don't cause your
death on contact.

You can safely ignore them.",boat
locale_CH0_F7,"As fases de final de capitulo
vao ter um ELEVADOR (que nem
esse 'E' ahi). Pegue-o para
passar pro proximo capitulo

(Isso irah encerrar o
tutorial!).","The last level of a chapter
will have an ELEVATOR (like
this 'E' south). Take it 
to go to the next chapter.

(This will end the tutorial!)",boat
locale_CH1_F0,a vida eh uma tristeza,life is misery,boat
locale_CH1_F1,"Amada, estou aqui para te 
dizer que o templo estah
pronto.

Hamurabi jah estah conosco.
Em breve vamos descobrir
como o manter vivo por
toda a eternidade. 

Me manterei em contato por
essas tabuas.","Beloved, I am here to tell you
that the temple is ready.

Hammurabi is already here
with us. Soon we'll discover
how to keep him alive for
all eternity.

I'll keep in touch through
these clay tablets",boat
locale_CH1_F2,"Amada, algo terrivel nos
acometeu hoje. Inimigos de
Marduk tentaram invadir nosso
templo. Conseguimos nos
defender, gracas ahs estatuas
sentinelas que conseguimos
montar. Elas devem patrulhar
o tempo sozinhas agora.

Apesar disso, ainda estamos
sitiados! Nao conseguimos sair!
Como vou te mandar essas
tabuas?","Beloved, something awful
has befallen us today.
Enemies of Marduk have tried
to invade our temple. We 
managed to defend, thank to
these sentinel statues we
managed to assemble. They
should patrol the temple
autonomously now.

Despite this, we are still
sieged! We cannot leave! how
will I send you these tablets?",boat
locale_CH1_F3,"Amada,

Estamos sem comida e agua.
O Rei nao vai sobreviver por
muito mais tempo. 

Teremos que deixar os
resultados das nossas
pesquisas aqui, inuteis.
O que descobrimos nao eh
o suficiente.

Me perdoe por te deixar.","Beloved,

We have no food nor water.
The King will not survive for
much longer.

We will have to leave the
results of our research here,
useless. What we have found is
simply not enough.

Forgive me for leaving so soon.",boat
locale_CH1_F4,"* Voce encontrou o Edito 
da Imortalidade.","* You have found the Edict
of Immortality.",boat
locale_CH2_F0,"ANNO MMCCCLV
AB URBE CONDITA

""Enquanto vives, brilhe.
De todo nao te aflijas,
Pois curta eh a vida
E o tempo cobra sua
divida."" -- Seikilos","ANNO MMCCCLV
AB URBE CONDITA

""As long as you live, let the
world see you, and don't make
yourself miserable; life is 
short, and Time demands his 
due."" -- Seikilos",boat
locale_CH2_F1,"Admito que prefiriria o
fim que os astrologos
levaram ao eterno
sentimento de culpa
dos legionarios.

Mas eu, mesmo, nao os
culpo. Qualquer um,
ao receber a
imortalidade ao custo
do Imperador, tambem
enlouqueceria.","I admit that I'd rather end
up like the astrologers than
anguish for eternity in
overwhelming guilt like the
legionaries.

But I, myself, blame them
not. Anyone who received
immortality at the cost
of the Imperator would also
go mad.
",boat
locale_CH2_F2,"Passei alguns anos
escutando os murmurios
insanos dos arquitetos
que sobreviveram. Pelo
que entendi, depois
de tantos anos, ainda
estao pensando em como
salvar o Imperador.

Por favor, poupe-os
da morte. Eles nao
sao inimigos.","I've spent a few years
keenly listening to the
murmurs of the surviving
architects. From what I've
understood, after all these
years, they're still trying
to figure out how to save
the Imperator.

Please, spare them from
death. They are not enemies.",i have scurvy
locale_CH2_F3,"Se alguem descobrisse
o motivo da formacao
ter dado errado de
maneira tao infortuna,
sera que algum deles
entenderia?

Talvez se nao
houvera decorrido
tanto tempo...","If anyone found the reason
why the formation had gone
wrong in such an unfortunate
way, would any of them
understand?

Maybe if it hadn't been
so much time since then...
Maybe...",boat
locale_CH2_F4,"Descanse em paz,
Imperador Adriano.

* Voce encontrou a
Formacao Astrologica
do Imperador Adriano.","Rest in Peace,
Imperator Hadrianus.

* You have found the
Emperor Hadrian
Astrological
Formation.",boat
locale_SCROLL_ENTER,Pressione ENTER para fechar.,Press ENTER to close.,PRESS ENTER TO SINK
locale_ERRO_FATAL_HEADER,Um erro fatal ocorreu.,A fatal exception has occurred.,THE SHIP JUST CRASHED
locale_ERRO_FATAL_TECLA,Aperte 4 para fechar o jogo.,Press 4 to close the game.,PRESS 4 TO MAROON GAME
locale_EDITOR_MENU_PRINCIPAL_OPCAO_1,1. EDITAR,1. EDIT,1. SAIL
locale_EDITOR_MENU_PRINCIPAL_OPCAO_2,2. CONFIGURACOES,2. SETTINGS,2. SHIP
locale_EDITOR_MENU_PRINCIPAL_OPCAO_3,3. CREDITOS,3. CREDITS,3. CREW
locale_EDITOR_MENU_PRINCIPAL_OPCAO_4,4. SAIR,4. EXIT,4. SINK
locale_EDITOR_MENU_ESCOLHA,Escolha uma opcao:,Choose an option:,CHOOSE YER COURSE
locale_EDITOR_MENU_EDITAR_OPCAO_1,1. NOVO,1. NEW,1. SWAG
locale_EDITOR_MENU_EDITAR_OPCAO_2,2. CARREGAR,2. LOAD,2. LOOT
locale_EDITOR_MENU_CARREGAR_PROMPT,Insira o nome do arquivo:,Enter file name:,ENTER CHART NAME
locale_EDITOR_MENU_CARREGAR_NAO_ENCONTRADO,Arquivo nao encontrado ou invalido!,File invalid or not found!,CHART NOT FOUND OR INVALID
locale_EDITOR_MENU_CARREGAR_OPCAO_ESC,Esc. VOLTAR,Esc. RETURN,ESC. BACK
locale_EDITOR_MENU_CONFIG_OPCAO_1,1. IDIOMA,1. LANGUAGE,1. TONGUE
locale_EDITOR_MENU_CONFIG_OPCAO_2_MUTAR,2. MUTAR,2. MUTE,2. PIPE DOWN
locale_EDITOR_MENU_CONFIG_OPCAO_2_DESMUTAR,2. DESMUTAR,2. UNMUTE,2. SOUND THE HORN
locale_EDITOR_MENU_IDIOMA_PROMPT,Escolha o idioma:,Choose language:,CHOOSE CREW LINGO:
locale_EDITOR_MENU_IDIOMA_PT,1. Portugues Brasileiro,1. Portugues Brasileiro,1. Portugues Brasileiro
locale_EDITOR_MENU_IDIOMA_EN,2. English (US),2. English (US),2. English (US)
locale_EDITOR_MENU_IDIOMA_BOAT,3. Barco,3. Boat,3. BOAT!!!
locale_EDITOR_MENU_OPCAO_9,9. VOLTAR,9. RETURN,9. BACK
locale_ARQUIVO_SEM_TITULO,Sem Titulo,Untitled,DRAFT
locale_EDITOR_UI_ESC,Esc -,Esc -,ESC -
locale_EDITOR_UI_OPTIONS,Opcoes,Options,RIGGINGS
locale_EDITOR_UI_TILES,Tiles,Tiles,TILES
locale_EDITOR_UI_NPCS,NPCs,NPCs,BUCKOS
locale_EDITOR_OPCOES_EDITAR_METADADOS,1. Editar Metadados,1. Edit Metadata,1. CHART RIGGINGS
locale_EDITOR_OPCOES_REDIMENSIONAR_MAPA,2. Redimensionar Mapa,2. Resize Map,2. RESCALE CHART
locale_EDITOR_OPCOES_SALVAR,3. Salvar,3. Save,3. SAVE CHART
locale_EDITOR_OPCOES_SALVAR_COMO,4. Salvar como...,4. Save as...,4. SAVE CHART AS...
locale_EDITOR_OPCOES_VOLTAR,Esc. Voltar,Esc. Return,Esc. BACK
locale_EDITOR_OPCOES_VOLTAR_AO_EDITOR,Esc. Voltar ao editor,Esc. Return to editor,Esc. BACK TO CHART
locale_EDITOR_OPCOES_RETORNAR,9. Sair ao Menu Principal,9. Exit to Main Menu,9. SINK TO MAIN VESSEL
locale_EDITOR_MENU_TITULO,Redimensione usando W A S D,Resize with W A S D,RESCALE WITH W A S D
locale_EDITOR_MENU_REDIMENSIONAR_CONTROLES,"W. Diminuir altura
A. Diminuir largura
S. Aumentar altura
D. Aumentar largura","W. Decrease height
A. Decrease width
S. Increase height
D. Increase width","W. SHORTEN NORTH
A. SHORTEN WEST
S. LENGHTEN SOUTH
D. LENGHTEN EAST"
locale_EDITOR_MENU_CONFIRMAR,Enter. Confirmar,Enter. Confirm,Enter. RECHART
locale_EDITOR_MENU_SALVAR_NOME_INVALIDO,Nome de arquivo invalido!,Invalid file name!,SAILOR! THAT NAME IS INVALID!
locale_EDITOR_ARQUIVO_SALVO,Fase salva com sucesso.,Level saved successfully.,CHART SAVED SUCCESSFULLY!!!
locale_EDITOR_ERRO_SALVAR,Ocorreu um erro ao salvar.,An error occured while saving.,FAILED TO SAVE CHART.
locale_EDITOR_MENU_METADATA,Configuracoes de Metadados,Metadata Settings,CHART RIGGINGS
locale_EDITOR_MENU_METADATA_TEXTURAS,1. Textura,1. Texture,1. DRESSING
locale_EDITOR_MENU_METADATA_AUDIOS,2. Audio,2. Audio,2. SOUND
locale_EDITOR_MENU_METADATA_TEXTO,3. Texto,3. Text,3. WRITIN'
locale_EDITOR_MENU_METADATA_TEMPO,4. Limite de tempo,4. Time Limit,4. TIMER
locale_EDITOR_MENU_METADATA_MARCADORES,5. Marcadores,5. Markers,5. MARKS
locale_EDITOR_MENU_TEXTURAS,Configuracoes de Textura,Texture Settings,DRESSING RIGGINGS
locale_EDITOR_MENU_TEXTURA_MAPA,1. Textura do Mapa,1. Map Texture,1. CHART DRESSING
locale_EDITOR_MENU_TEXTURA_NPCS,2. Textura dos NPCs,2. NPC Texture,2. CREW DRESSING
locale_EDITOR_MENU_TEXTURA_JOGADOR,3. Textura do Jogador,3. Player Texture,3. CAPTAIN DRESSING
locale_EDITOR_MENU_TEXTURA_DE_FUNDO,4. Textura de Fundo,4. Background Texture,4. BACKGROUND DRESSING
locale_EDITOR_MENU_FUNDO_DICA,(Deixe vazio para remover a textura),(Leave empty to remove texture),(LEAVE EMPTY TO REMOVE DRESSING)
locale_EDITOR_MENU_AUDIO,Configuracoes de Audio,Audio Settings,SOUND RIGGINGS
locale_EDITOR_MENU_AUDIO_SOUNDTRACK,1. Musica de Fundo,1. Soundtrack,1. SOUNDTRACK
locale_EDITOR_MENU_AUDIO_POWERUP,2. Audio Powerup,2. Powerup Sound,2. POWERUP SOUND
locale_EDITOR_MENU_AUDIO_MORTE,3. Audio de Morte,3. Death Sound,3. DEATH SOUND
locale_EDITOR_MENU_AUDIO_PERGAMINHO,4. Audio de Pergaminho,4. Scroll Sound,4. SCROLL SOUND
locale_EDITOR_MENU_TEXTO_PROMPT,Escolha a chave de locale.s:,Choose locale.s key:,WRITE LOCALE KEY:
locale_EDITOR_MENU_CHAVE_NAO_ENCONTRADA,Chave nao encontrada!,Key not found!,KEY NOT FOUND!!!
locale_EDITOR_MENU_LIMITE_DE_TEMPO_PROMPT,Insira um limite de tempo numerico:,Insert numerical time limit:,INSERT TIMER COUNT:
locale_EDITOR_MENU_LIMITE_DE_TEMPO_AVISO,(Insira 0 para remover o limite),(Insert 0 to remove the limit),(WRITE 0 TO DESTROY TIMER)
locale_EDITOR_MENU_MARCADORES,Configuracoes de Marcadores,Markers Settings,MARKS RIGGINGS
locale_EDITOR_MENU_PERGAMINHO_INICIO_ENABLE,1. Habilitar pergaminho no inicio,1. Enable scroll at start,1. SHOW SCROLL AT START
locale_EDITOR_MENU_PERGAMINHO_INICIO_DISABLE,1. Desabilitar pergaminho no inicio,1. Disable scroll at start,1. DO NOT SHOW SCROLL AT START
locale_EDITOR_MENU_SAIDA_LIVRE_ENABLE,2. Habilitar saida liberada,2. Enable free exit,2. REVEAL EXIT AT START
locale_EDITOR_MENU_SAIDA_LIVRE_DISABLE,2. Desabilitar saida liberada,2. Disable free exit,2. DO NOT REVEAL EXIT AT START
